Year;Month;Day;Hour;Minute;Seconds;V_t;V_t_err ;V_sw ;V_pf;V_pf_err;Theta_B;N_t (x);N_t(y);N_t(z);B0(x);B0(y);B0(z);|B0|;;;;;
2005;1;12;13;27;3,0;691,1;21,4;654,5;93,1;66,3;18,2;-0,92;-0,26;0,29;2,5;-2,8;4,3;5,9;;;;;
2005;1;15;1;45;30,7;439,3;9,2;606,8;-39,5;52,0;40,1;-0,75;-0,11;0,64;3,7;-1,7;2,9;5,5;;;;;
2005;1;15;2;14;56,6;504,3;18,1;649,1;68,0;58,5;77,1;-0,77;-0,44;-0,46;-2,6;-0,2;4,3;7,4;;;;;
2005;1;15;2;21;36,6;301,8;4,2;628,0;-73,9;48,1;148,2;-0,68;-0,63;-0,37;0,9;-1,3;1,2;7,0;;;;;
2005;1;17;9;28;29,1;450,7;16,9;630,7;-43,9;50,3;5,8;-0,76;0,61;0,20;3,1;2,6;7,8;8,8;;;;;
2005;1;28;21;7;9,3;398,4;6,8;387,2;25,4;35,8;8,1;-0,93;0,33;0,15;-0,1;0,9;-3,3;3,4;;;;;
2005;1;29;9;54;55,9;383,6;5,9;425,9;-0,5;42,5;37,3;-0,90;-0,43;-0,02;-2,2;7,0;-2,4;10,4;;;;;
2005;1;30;14;30;53,9;431,3;8,3;580,3;13,5;45,9;14,4;-0,77;-0,63;0,14;-3,0;3,3;-0,5;4,5;;;;;
2005;1;5;8;43;43,0;761,8;34,0;674,1;118,1;73,0;127,8;-0,95;-0,01;-0,30;-0,9;1,3;1,1;3,3;;;;;
2005;2;10;0;10;22,7;400,9;6,2;682,1;13,5;44,1;5,6;-0,60;-0,78;-0,20;3,3;-3,0;0,4;4,6;;;;;
2005;2;10;1;27;28,0;393,8;6,8;695,2;141,6;34,5;134,1;-0,43;-0,85;-0,29;3,0;-1,0;0,3;4,8;;;;;
2005;2;10;3;28;18,3;605,8;24,9;698,0;52,3;53,8;9,6;-0,72;0,65;0,26;2,8;3,0;0,2;4,1;;;;;
2005;2;11;13;20;20,6;488,9;8,7;617,7;-3,6;46,2;53,3;-0,76;0,54;-0,35;1,3;-0,5;-2,3;3,0;;;;;
2005;2;14;13;30;21,1;286,9;3,6;389,8;63,3;24,4;118,2;-0,61;-0,76;0,20;-1,1;1,5;1,7;4,5;;;;;
2005;2;14;9;32;29,6;233,1;3,0;350,4;-12,7;27,1;93,0;-0,78;-0,32;-0,54;-2,9;1,3;2,0;5,8;;;;;
2005;2;17;3;41;9,0;393,4;4,9;384,8;36,3;37,5;1,5;-0,97;-0,24;-0,09;0,8;-3,2;1,5;3,6;;;;;
2005;2;19;19;49;49,6;251,6;9,6;498,5;39,4;31,1;151,0;-0,48;-0,54;0,69;1,3;-0,5;0,6;5,2;;;;;
2005;2;19;19;57;41,2;458,1;21,2;509,1;0,1;45,5;3,0;-0,83;0,43;0,35;2,2;3,1;2,0;4,3;;;;;
2005;2;21;20;13;35,4;170,1;1,4;380,4;-27,3;17,7;5,8;-0,47;0,21;0,86;0,5;-2,7;0,7;2,8;;;;;
2005;2;21;21;10;35,6;370,2;4,5;375,9;5,0;37,4;0,7;-0,98;-0,17;-0,07;0,1;-3,1;1,2;3,3;;;;;
2005;2;25;16;12;43,3;355,7;4,7;548,0;3,9;39,2;146,7;-0,72;-0,65;-0,24;-1,2;1,6;-1,8;7,1;;;;;
2005;2;25;18;31;59,9;135,1;0,6;523,0;36,1;8,9;52,9;-0,17;-0,02;0,99;-4,8;1,7;-0,5;6,1;;;;;
2005;2;26;9;26;13,5;247,7;2,8;535,2;-4,1;21,1;21,5;-0,41;0,47;0,78;-3,8;-2,2;-1,6;4,8;;;;;
2005;2;28;21;56;55,4;633,7;15,6;614,9;56,6;60,5;78,3;-0,96;-0,15;0,24;0,2;-3,7;-1,5;4,8;;;;;
2005;2;28;5;37;18,2;570,4;15,2;598,8;24,2;55,3;167,2;-0,89;0,18;0,41;-0,6;0,0;0,0;6,1;;;;;
2005;2;2;18;40;17,4;354,3;4,8;501,4;-8,0;39,9;58,7;-0,77;-0,58;0,27;-2,3;2,4;-2,1;4,5;;;;;
2005;2;2;18;50;9,1;605,1;16,3;518,9;124,7;47,8;6,2;-0,89;0,28;0,36;-0,8;1,3;-3,8;4,1;;;;;
2005;2;2;19;37;26,9;515,2;10,6;519,1;3,6;52,0;37,5;-0,99;-0,04;0,15;-0,5;2,3;-2,8;4,0;;;;;
2005;2;4;16;11;21,4;169,1;1,4;441,3;25,3;14,7;121,8;-0,34;-0,36;-0,87;-0,4;1,2;-0,4;2,5;;;;;
2005;2;7;18;59;30,4;530,3;9,4;670,7;-6,0;60,7;4,8;-0,83;-0,35;0,42;5,9;-4,6;7,0;10,3;;;;;
2005;2;7;6;26;32,5;313,6;4,7;413,9;27,3;30,5;2,4;-0,73;-0,33;0,60;6,4;-8,2;4,0;11,2;;;;;
2005;2;9;18;24;58,0;648,6;18,9;685,3;28,0;63,8;0,8;-0,89;-0,13;0,44;2,0;-2,5;3,0;4,4;;;;;
2005;2;9;21;5;43,8;491,0;9,8;688,8;22,5;52,0;78,8;-0,71;-0,67;0,21;2,0;-2,2;0,0;4,0;;;;;
2005;2;9;23;46;44,2;667,6;18,1;729,5;5,9;66,9;103,1;-0,89;0,07;0,45;0,3;-1,2;2,0;4,5;;;;;
2005;2;9;23;48;16,0;390,8;6,3;729,5;29,0;43,5;103,1;-0,55;-0,83;0,01;0,3;-1,2;2,0;4,5;;;;;
2005;2;9;2;38;57,9;521,7;10,7;725,6;35,3;51,2;117,8;-0,67;-0,42;0,61;2,1;-1,3;0,8;5,2;;;;;
2005;3;10;6;20;1,6;631,3;21,1;664,5;110,9;55,2;5,3;-0,79;0,11;-0,60;-0,4;-4,5;0,2;4,5;;;;;
2005;3;10;6;56;41,5;337,8;5,2;670,4;44,8;29,7;109,7;-0,45;-0,15;0,88;-1,0;-2,0;-0,7;4,1;;;;;
2005;3;10;7;6;31,3;382,2;6,3;636,2;81,2;25,0;2,1;-0,40;0,86;-0,33;3,2;0,9;-1,4;3,6;;;;;
